Word	JDIC Sequence Number	Reading	Kanji	Parts of Speech	Meanings	Related Words
凄まじい	1595640	すさまじい	凄	adjective	1: terrific<br>2: fierce<br>3: terrible<br>4: tremendous<br>5: dreadful<br>6: awful<br>7: amazing<br>8: absurd<br>9: cutthroat<br>10: intense	
冴える	1297050	さえる	冴	Ichidan verb, intransitive verb	1: to be clear (of a sight, sound, colour, etc.)<br>2: to be bright<br>3: to be vivid<br>4: to be crisp<br><br>1: to be clear-headed<br>2: to be alert<br>3: to be on the ball<br>4: to be wide awake<br><br>1: to look upbeat<br>2: to be perky<br>3: to be cheerful<br><br>1: to master (a skill)<br>2: to excel at<br>3: to cleanly execute<br><br>1: to be satisfying<br><br>1: to become frigid<br>2: to become intensely cold	冴えない・2
凌ぐ	1554200	しのぐ	凌	Godan verb with `gu' ending, transitive verb	1: to endure<br>2: to keep out (e.g. rain)<br>3: to stave off (e.g. starvation)<br><br>1: to pull through<br>2: to get over<br>3: to survive<br><br>1: to surpass<br>2: to outdo<br>3: to excel<br>4: to eclipse<br>5: to defy<br>6: to slight	
凧	1581560	たこ	凧	noun	1: kite	
凪	1459650	なぎ	凪	noun	1: calm (at sea)<br>2: lull	
凪ぐ	1459660	なぐ	凪	Godan verb with `gu' ending, intransitive verb	1: to become calm<br>2: to die down	
夙に	1337150	つとに	夙	adverb	1: bright and early<br>2: early in life<br>3: long ago<br>4: for a long time	
剥がれる	1474330	はがれる	剥	Ichidan verb, intransitive verb	1: to come unstuck from	
剥く	1474370	むく	剥	Godan verb with `ku' ending, transitive verb	1: to peel<br>2: to skin<br>3: to pare<br>4: to hull<br>5: to bare (e.g. fangs)<br>6: to open wide (e.g. eyes)	
剥ける	1474380	むける	剥	Ichidan verb, intransitive verb	1: to peel off<br>2: to come off<br>3: to be taken off	
剥げる	1474390	はげる	剥	Ichidan verb, intransitive verb	1: to come off<br>2: to be worn off<br><br>1: to fade<br>2: to discolor<br>3: to discolour	
剥る	1474420	へずる	剥	Godan verb with `ru' ending, transitive verb	1: to pilfer<br>2: to steal a portion	
剥ぐ	1582990	はぐ	剥	Godan verb with `gu' ending, transitive verb	1: to tear off<br>2: to peel off<br>3: to rip off<br>4: to strip off<br>5: to skin<br>6: to flay<br>7: to bark<br>8: to disrobe<br><br>1: to strip of (e.g. clothes, rank)<br>2: to deprive of<br>3: to divest	
剥がす	1600670	はがす	剥	Godan verb with `su' ending, transitive verb	1: to tear off<br>2: to peel off<br>3: to rip off<br>4: to strip off<br>5: to skin<br>6: to flay<br>7: to disrobe<br>8: to deprive of<br>9: to detach<br>10: to disconnect	
剃る	1581900	そる	剃	Godan verb with `ru' ending, transitive verb	1: to shave	
匂わせる	1463470	におわせる	匂	Ichidan verb	1: to smell of<br>2: to give off a scent<br>3: to hint at<br>4: to intimate	
匂い	1599760	におい	匂	noun	1: odour<br>2: odor<br>3: scent<br>4: smell<br>5: stench<br><br>1: aura<br>2: whiff<br>3: smacks of ...<br>4: sense<br>5: flavour<br>6: flavor	
匂う	1599780	におう	匂	Godan verb with `u' ending, intransitive verb	1: to be fragrant<br>2: to smell (good)<br><br>1: to stink<br>2: to smell (bad)<br><br>1: to glow<br>2: to be bright<br><br>1: to smack of<br>2: to show hints of	
厭う	1175420	いとう	厭	Godan verb with `u' ending, transitive verb	1: to be loath to<br>2: to balk at (doing)<br>3: to grudge (doing)<br>4: to spare (oneself)<br>5: to be weary of<br>6: to shun<br>7: to dislike (an activity, an environment)<br>8: to hate (an activity)<br><br>1: to take (good) care of	
厨	1370530	くりや	厨	noun	1: kitchen	
仄めかす	1563040	ほのめかす	仄	Godan verb with `su' ending, transitive verb	1: to hint at<br>2: to intimate<br>3: to suggest<br>4: to allude to<br>5: to imply	
仄めく	1563050	ほのめく	仄	Godan verb with `ku' ending, intransitive verb	1: to be seen dimly<br>2: glimmer	
仄か	1603520	ほのか	仄	adjectival nouns or quasi-adjectives	1: faint<br>2: indistinct<br>3: dim<br><br>1: few<br>2: a little	
嘲る	1565590	あざける	嘲	Godan verb with `ru' ending, transitive verb	1: to scoff<br>2: to laugh at<br>3: to make fun of<br>4: to ridicule<br>5: to jeer at	
咎める	1565100	とがめる	咎	Ichidan verb	1: to blame<br>2: to find fault<br>3: to challenge<br>4: to threaten<br>5: to take someone to task<br>6: to aggravate (an injury)	
咎	2611400	とが	咎	noun	1: error<br>2: mistake<br>3: fault<br><br>1: sin<br>2: wrongdoing<br>3: offense	
囁く	1565670	ささやく	囁	Godan verb with `ku' ending, intransitive verb	1: to whisper<br>2: to murmur<br><br>1: to rumor<br>2: to rumour	
喋る	1427510	しゃべる	喋	Godan verb with `ru' ending, intransitive verb	1: to talk<br>2: to chat<br>3: to chatter	
咽ぶ	2009850	むせぶ	咽	Godan verb with `bu' ending, intransitive verb	1: to be choked<br>2: to be stifled<br>3: to be smothered	
噂	1172590	うわさ	噂	noun, noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle `no'	1: rumour<br>2: rumor<br>3: report<br>4: hearsay<br>5: gossip<br>6: common talk	
咳	1204300	せき	咳	noun	1: cough<br>2: coughing<br>3: tussis	
咳く	1977930	しわぶく	咳	Godan verb with `ku' ending, intransitive verb	1: to cough	
咳く	2100290	せく	咳	Godan verb with `ku' ending	1: to cough	
喧しい	1211380	やかましい	喧	adjective	1: noisy<br>2: boisterous<br><br>1: strict<br>2: faultfinding<br>3: carping<br>4: fussy	
喉	1600280	のど	喉	noun	1: throat<br><br>1: singing voice	
唾	1408410	つば	唾	noun, noun or participle which takes the aux. verb suru	1: saliva<br>2: spit<br>3: sputum	
叩く	1416170	たたく	叩	Godan verb with `ku' ending, transitive verb	1: to strike<br>2: to clap<br>3: to knock<br>4: to dust<br>5: to beat<br><br>1: to play drums<br><br>1: to abuse<br>2: to flame (e.g. on the Internet)<br>3: to insult<br><br>1: to use up money<br><br>1: to call<br>2: to invoke (e.g. a function)	
嘘	1172400	うそ	嘘	noun	1: lie<br>2: falsehood<br>3: incorrect fact<br><br>1: Really!<br>2: Unbelievable!<br>3: No way!	
啄む	2008990	ついばむ	啄	Godan verb with `mu' ending, transitive verb	1: to pick at<br>2: to peck at	
呪い	1330100	のろい	呪	noun	1: curse<br>2: spell<br>3: malediction	
呪い	1330105	まじない	呪	noun	1: charm<br>2: incantation<br>3: spell<br>4: magic formula	
呪う	1330120	のろう	呪	Godan verb with `u' ending, transitive verb	1: to curse<br>2: to put a curse on<br>3: to detest intensely	
呪う	2182980	まじなう	呪	Godan verb with `u' ending	1: to pray that one avoids disaster or illness<br>2: to pray<br><br>1: to pray for the death or misfortune of another<br>2: to curse<br><br>1: to treat illness with prayer	
吠える	1603420	ほえる	吠	Ichidan verb, intransitive verb	1: to bark<br>2: to bay<br>3: to howl<br>4: to bellow<br>5: to roar<br>6: to cry	
吊るす	1433980	つるす	吊	Godan verb with `su' ending, transitive verb	1: to hang<br>2: to hang up	
吊る	1434020	つる	吊	Godan verb with `ru' ending	1: to hang<br>2: to suspend (something from something)<br>3: to be hanged (by the neck)<br><br>1: to hoist an opponent off of his feet by his loincloth	
噛む	1209240	かむ	噛	Godan verb with `mu' ending, transitive verb	1: to bite<br>2: to chew<br>3: to gnaw<br><br>1: to crash against (e.g. of waves)<br>2: to break onto (shore)<br><br>1: to engage (of cogs, zippers, etc.)<br>2: to mesh<br>3: to fit together<br><br>1: to be involved in<br><br>1: to fumble one's words (during a play, broadcast, etc.)<br>2: to falter with one's words<br><br>1: to strongly confute<br>2: to argue down<br>3: to rebuke<br>4: to scold harshly	一枚噛む
叶う	1208870	かなう	叶	Godan verb with `u' ending	1: to come true (wish)<br><br>1: to be suited<br><br>1: to match (implies competition)<br>2: to rival<br>3: to bear (e.g. I can't bear the heat)	道理に適う
叶える	1208880	かなえる	叶	Ichidan verb, transitive verb	1: to grant (request, wish)<br>2: to answer (prayer)<br><br>1: to fulfill (conditions)<br>2: to meet (requirements)	
吃る	1226340	どもる	吃	Godan verb with `ru' ending, intransitive verb	1: to stammer<br>2: to stutter	
叱る	1319580	しかる	叱	Godan verb with `ru' ending, transitive verb	1: to scold	
呆ける	1288490	ぼける	呆	Ichidan verb, intransitive verb	1: to grow senile<br>2: to be childish with age<br><br>1: to be mentally slow<br>2: to be befuddled<br><br>1: to become engrossed (in something)	
呆れる	1515580	あきれる	呆	Ichidan verb, intransitive verb	1: to be amazed<br>2: to be shocked<br>3: to be astonished<br>4: to be astounded<br>5: to be disgusted	
堆い	2541640	うずたかい	堆	adjective	1: piled up high<br>2: in a heap	
垢	1277420	あか	垢	noun	1: dirt<br>2: filth<br>3: grime<br><br>1: account (e.g. online service)	アカ
堰	1955830	せき	堰	noun	1: dam<br>2: weir<br>3: barrier<br>4: sluice	
姦する	1979360	かんする	姦	suru verb - special class	1: to commit adultery<br>2: to rape	
妬む	1444380	ねたむ	妬	Godan verb with `mu' ending, transitive verb	1: to be jealous of<br>2: to envy<br>3: to begrudge	
姪	1532940	めい	姪	noun	1: niece	姪御; 姪子
姥	2199780	うば	姥	noun	1: elderly woman<br><br>1: noh mask of an old woman	
姑	1266770	しゅうとめ	姑	noun	1: mother-in-law	舅
嬉しい	1219510	うれしい	嬉	adjective	1: happy<br>2: glad<br>3: pleasant	
孕む	1611300	はらむ	孕	Godan verb with `mu' ending, transitive verb, intransitive verb	1: to conceive<br>2: to become pregnant<br><br>1: to get filled with (e.g. sails filled with wind)<br>2: to be swollen with<br><br>1: to contain (e.g. contradiction or danger)<br><br>1: to be swollen and ripe (of a plant ear, head, or sprout)	
宥める	1540250	なだめる	宥	Ichidan verb, transitive verb	1: to soothe<br>2: to calm<br>3: to pacify	
寓する	2526140	ぐうする	寓	suru verb - special class, intransitive verb	1: to reside temporarily<br><br>1: to imply	
塞ぐ	1602590	ふさぐ	塞	Godan verb with `gu' ending, transitive verb	1: to stop up<br>2: to close up<br>3: to block (up)<br>4: to plug up<br>5: to shut up<br>6: to cover (ears, eyes, etc.)<br>7: to close (eyes, mouth)<br><br>1: to stand in the way<br>2: to obstruct<br><br>1: to occupy<br>2: to fill up<br>3: to take up<br><br>1: to perform one's role<br>2: to do one's duty<br><br>1: to feel depressed<br>2: to mope	塞がる・1; 塞がる・2; 塞がる・3; 鬱ぐ・ふさぐ
屠る	1444390	ほふる	屠	Godan verb with `ru' ending, transitive verb	1: to slaughter<br>2: to massacre<br>3: to defeat<br>4: to butcher	
屁	1001420	おなら	屁	noun	1: wind<br>2: gas<br>3: fart<br><br>1: something worthless<br>2: something not worth considering	
屑	1246510	くず	屑	noun, noun or verb acting prenominally	1: waste<br>2: scrap<br>3: garbage<br>4: dregs<br><br>1: chad	
尻	1358760	しり	尻	noun	1: buttocks<br>2: behind<br>3: rump<br>4: bottom<br><br>1: undersurface<br>2: bottom<br><br>1: last place<br>2: end<br><br>1: consequence	
屡々	1005580	しばしば	屡	adverb	1: often<br>2: again and again<br>3: frequently	度々・たびたび
屍	1853420	しかばね	屍	noun	1: corpse<br><br>1: kanji "corpse" radical	尸冠
嵩む	1372880	かさむ	嵩	Godan verb with `mu' ending, intransitive verb	1: to pile up<br>2: to increase	
嵩	1956520	かさ	嵩	noun	1: bulk<br>2: volume<br>3: quantity	
崖	1204380	がけ	崖	noun	1: cliff	
嵌める	1566420	はめる	嵌	Ichidan verb, transitive verb	1: to insert<br>2: to put in (such that there is a snug fit)<br>3: to button<br>4: to put on (something that envelops, e.g. gloves, ring)<br><br>1: to have sex<br>2: to fuck<br><br>1: to pigeonhole (into a particular category)<br><br>1: to place a ring-shaped object around something (esp. one that restricts freedom, such as handcuffs)<br><br>1: to entrap<br>2: to set someone up (i.e. frame them for a crime, etc.)	
嵌まる	1601030	はまる	嵌	Godan verb with `ru' ending, intransitive verb	1: to fit<br>2: to get into<br>3: to go into<br><br>1: to be fit for (a job, etc.)<br>2: to be suited for<br>3: to satisfy (conditions)<br><br>1: to fall into<br>2: to plunge into<br>3: to get stuck<br>4: to get caught<br><br>1: to be deceived<br>2: to be taken in<br>3: to fall into a trap<br><br>1: to be addicted to<br>2: to be deep into<br>3: to be crazy about<br>4: to be stuck on	
幟	1649360	のぼり	幟	noun	1: flag<br>2: banner<br>3: streamer	
廓	1872820	くるわ	廓	noun, prefix, suffix	1: district<br>2: quarter<br><br>1: enclosure<br>2: area enclosed by earthwork<br><br>1: red-light district<br><br>1: wide and empty	
庇う	1483060	かばう	庇	Godan verb with `u' ending, transitive verb	1: to protect someone<br>2: to take under one's wing<br>3: to plead for<br>4: to stick up for<br>5: to cover up for someone	
庇	2057300	ひさし	庇	noun	1: eaves (of roof)<br><br>1: narrow aisle surrounding the core of a temple building<br><br>1: visor (of cap)<br>2: brim<br>3: peak<br><br>1: classic Japanese women's low pompadour hairstyle	庇髪
鷹	1415510	たか	鷹	noun	1: falcon (Falconidae spp.)<br>2: hawk	
弥	2580180	いや	弥	adverb	1: more and more<br>2: increasingly<br><br>1: extremely<br>2: very	愈々・いよいよ・1
弛む	1421580	たるむ	弛	Godan verb with `mu' ending, intransitive verb	1: to slacken<br>2: to loosen<br>3: to relax<br>4: to droop (e.g. loose or flabby skin)<br>5: to sag (ceiling)<br><br>1: to slack off (e.g. one's work, attention)<br>2: to not put one's heart in	
弛める	2600660	たるめる	弛	Ichidan verb, transitive verb	1: to slacken<br>2: to loosen	
粥	1209350	かゆ	粥	noun	1: thin rice porridge<br>2: watery cooked rice<br>3: rice gruel<br>4: congee	
挽く	1482080	ひく	挽	Godan verb with `ku' ending, transitive verb	1: to saw<br><br>1: to grind (e.g. coffee beans)<br>2: to mill	
扮する	2020510	ふんする	扮	suru verb - special class	1: to disguise oneself<br>2: to be dressed (as someone else)	
掠める	1551880	かすめる	掠	Ichidan verb, transitive verb	1: to steal<br>2: to rob<br>3: to snatch<br>4: to pocket<br>5: to plunder<br><br>1: to deceive<br>2: to trick<br>3: to cheat<br><br>1: to graze (in passing)<br>2: to skim<br>3: to brush against<br>4: to touch lightly<br><br>1: to appear and quickly disappear (a thought, a smile, etc.)<br>2: to flit (through one's mind, across one's face)<br><br>1: to do (something) while no one is looking<br><br>1: to hint at<br>2: to suggest<br>3: to insinuate	
掠れる	1551930	かすれる	掠	Ichidan verb, intransitive verb	1: to get blurred<br><br>1: to get hoarse<br>2: to get husky<br><br>1: to graze<br>2: to scrape<br>3: to touch	
掠る	1636530	かする	掠	Godan verb with `ru' ending, transitive verb	1: to graze<br>2: to touch lightly<br><br>1: to take a percentage<br>2: to exploit<br>3: to squeeze	
掴む	1433650	つかむ	掴	Godan verb with `mu' ending, transitive verb	1: to seize<br>2: to catch<br>3: to grasp<br>4: to grip<br>5: to grab<br>6: to hold<br>7: to catch hold of<br>8: to lay one's hands on<br>9: to clutch<br><br>1: to understand<br>2: to grasp<br>3: to comprehend	
捻る	1469530	ひねる	捻	Godan verb with `ru' ending, transitive verb	1: to twist<br>2: to wrench<br>3: to turn (a switch on or off, etc.)<br>4: to wring (a neck)<br><br>1: to puzzle over<br><br>1: to defeat easily	
捻くる	1602080	ひねくる	捻	Godan verb with `ru' ending, transitive verb	1: to twirl<br>2: to spin<br>3: to fiddle with<br>4: to change wording	
掻く	1399970	かく	掻	Godan verb with `ku' ending, transitive verb	1: to scratch<br><br>1: to perspire<br><br>1: to shovel<br>2: to paddle	汗をかく
撰する	2654330	せんする	撰	suru verb - special class, transitive verb	1: to write (prose, etc.)<br><br>1: to compile (an anthology)	
拭う	1357220	ぬぐう	拭	Godan verb with `u' ending, transitive verb	1: to wipe<br><br>1: to get rid of<br>2: to eliminate (e.g. one's shame)<br>3: to remove (e.g. an impression)<br>4: to erase	
拭く	1357240	ふく	拭	Godan verb with `ku' ending, transitive verb	1: to wipe<br>2: to dry	
揃い	1406100	そろい	揃	noun	1: set<br>2: suit<br>3: uniform	
揃う	1406110	そろう	揃	Godan verb with `u' ending, intransitive verb	1: to become complete<br>2: to be all present<br>3: to be a full set<br>4: to have everything at one's disposal<br><br>1: to be equal<br>2: to be uniform<br><br>1: to gather<br>2: to assemble	
揃える	1406120	そろえる	揃	Ichidan verb, transitive verb	1: to collect<br>2: to gather<br>3: to get together<br>4: to complete (a collection)<br><br>1: to arrange<br>2: to put in order<br>3: to prepare<br>4: to get ready<br><br>1: to make uniform<br>2: to make even<br>3: to match	
捌く	1299630	さばく	捌	Godan verb with `ku' ending, transitive verb	1: to handle well<br>2: to process<br><br>1: to sell out (completely)<br>2: to dispose of (all stock)<br><br>1: to prepare<br>2: to arrange<br>3: to sort<br><br>1: to prepare something for cooking<br>2: to dress (meat, etc.)<br>3: to cut and trim (fish)	
捌ける	1579330	さばける	捌	Ichidan verb, intransitive verb	1: to be in order<br>2: to sell well<br>3: to be sociable<br>4: to flow smoothly	
捌け	1951790	はけ	捌	noun	1: drainage<br>2: draining	
捧げる	1516430	ささげる	捧	Ichidan verb, transitive verb	1: to lift up<br>2: to give<br>3: to offer<br>4: to consecrate<br>5: to devote<br>6: to sacrifice<br>7: to dedicate	
撚る	2019410	よる	撚	Godan verb with `ru' ending, transitive verb	1: to twist (yarn)<br>2: to lay (rope)	
捗る	1430570	はかどる	捗	Godan verb with `ru' ending, intransitive verb	1: to make progress<br>2: to move right ahead (with the work)<br>3: to advance	
撫でる	1498290	なでる	撫	Ichidan verb, transitive verb	1: to brush gently<br>2: to stroke<br>3: to caress	
撒く	1303400	まく	撒	Godan verb with `ku' ending, transitive verb	1: to scatter<br>2: to sprinkle<br>3: to strew<br><br>1: to distribute (handbills, etc.)<br>2: to spread (rumours, etc.)<br><br>1: to give the slip<br>2: to throw off<br>3: to shake off<br>4: to lose	
抉る	1585570	えぐる	抉	Godan verb with `ru' ending, transitive verb	1: to gouge<br>2: to hollow out<br>3: to bore<br>4: to excavate<br>5: to scoop out<br><br>1: to greatly perturb<br>2: to cause emotional pain<br><br>1: to get to the bottom of things<br>2: to relentlessly bring the truth to light	
抉る	2262380	こじる	抉	Godan verb with `ru' ending, Ichidan verb, transitive verb	1: to pry<br>2: to prize<br>3: to prise	
抉る	2262390	くじる	抉	Godan verb with `ru' ending, transitive verb	1: to stick into and move around<br>2: to dig around in<br>3: to pick (i.e. one's teeth)	
怯える	1236630	おびえる	怯	Ichidan verb, intransitive verb	1: to become frightened<br>2: to be frightened (of)<br>3: to be scared (of)	
怯む	1236640	ひるむ	怯	Godan verb with `mu' ending, intransitive verb	1: to falter<br>2: to flinch (from)<br>3: to recoil (from)<br>4: to quail (at)	
惚れる	1288500	ほれる	惚	Ichidan verb, intransitive verb	1: to fall in love<br>2: to be in love<br>3: to be charmed with<br>4: to lose one's heart to	
憧れる	1453810	あこがれる	憧	Ichidan verb, intransitive verb	1: to long for<br>2: to yearn after<br>3: to admire<br>4: to be attracted by	
恰も	1208190	あたかも	恰	adverb	1: as if<br>2: as it were<br>3: as though<br><br>1: right then<br>2: just then<br>3: at that moment	
湧く	1606685	わく	湧	Godan verb with `ku' ending, intransitive verb	1: to well (up)<br>2: to gush forth (of water)<br>3: to spring out<br>4: to surge<br><br>1: to appear (esp. suddenly) (sweat, tears, etc.)<br><br>1: to feel emotions form (joy, bravery, etc.)<br><br>1: to hatch (esp. of parasitic insects, etc.)	
澪	2255000	みお	澪	noun	1: waterway<br>2: channel<br><br>1: wake (of a ship)	
漱ぐ	2261070	くちすすぐ	漱	Godan verb with `gu' ending	1: to gargle<br>2: to rinse the mouth	
滲む	1568800	にじむ	滲	Godan verb with `mu' ending	1: to run<br>2: to blur<br>3: to spread<br>4: to blot<br>5: to ooze	
淫ら	1170010	みだら	淫	adjectival nouns or quasi-adjectives, noun	1: obscene<br>2: indecent<br>3: lewd<br>4: bawdy<br>5: loose<br>6: improper<br>7: dirty	
梁	1648740	はり	梁	noun	1: beam<br>2: joist	
澱む	1612590	よどむ	澱	Godan verb with `mu' ending, intransitive verb	1: to stagnate<br>2: to be stagnant<br>3: to settle<br>4: to deposit<br>5: to be sedimented<br>6: to be precipitated<br>7: to hesitate<br>8: to be sluggish<br>9: to stammer<br>10: to stumble<br>11: to falter	
澱	2076390	おり	澱	noun	1: dregs<br>2: lees<br>3: grounds<br>4: sediment	
汝	1631650	うぬ	汝	pronoun, nouns which may take the genitive case particle `no'	1: blockhead!<br>2: you	
汝	2015140	なんじ	汝	pronoun, nouns which may take the genitive case particle `no'	1: thou<br>2: you	
汝	2174410	い	汝	noun	1: you	
汝	2174420	いまし	汝	noun	1: you	
汝	2174460	なむち	汝	pronoun, nouns which may take the genitive case particle `no'	1: you	
汝	2174490	みまし	汝	noun	1: you	
漉く	2117510	すく	漉	Godan verb with `ku' ending, transitive verb	1: to make something (i.e. paper) from wet, pulpy material by spreading it thin and drying it	
溺れる	1437560	おぼれる	溺	Ichidan verb, intransitive verb	1: to drown<br>2: to nearly drown<br>3: to sink below the surface (of water)<br><br>1: to indulge in<br>2: to lose one's head over something<br>3: to wallow in	
汀	1436490	みぎわ	汀	noun	1: water's edge<br>2: shore<br>3: waterside	
鴻	2157630	ひしくい	鴻	noun	1: bean goose (Anser fabalis)	
溢れる	1167610	あふれる	溢	Ichidan verb, intransitive verb	1: to overflow<br>2: to brim over<br>3: to flood	
湛える	1982910	たたえる	湛	Ichidan verb, transitive verb	1: to fill (to the brim)<br><br>1: to express (an emotion)<br>2: to look (sad, glad)<br>3: to wear (a smile)	
潰す	1433820	つぶす	潰	Godan verb with `su' ending, transitive verb	1: to smash<br>2: to crush<br><br>1: to shut down<br><br>1: to thwart<br>2: to block<br><br>1: to kill (time)<br><br>1: to waste (e.g. talents)	
