Word	JDIC Sequence Number	Reading	Kanji	Parts of Speech	Meanings	Related Words
丸	1216250	まる	丸	noun, noun, used as a prefix, suffix	1: circle<br><br>1: entirety<br>2: whole<br>3: full<br>4: complete<br><br>1: money<br>2: dough<br>3: moola<br><br>1: enclosure inside a castle's walls<br><br>1: soft-shelled turtle<br><br>1: suffix for ship names<br>2: suffix for names of people (esp. infants)<br>3: suffix for names of swords, armour, musical instruments, etc.<br>4: suffix for names of dogs, horses, etc.	○・まる・1; スッポン; 麻呂・3
丸める	1216300	まるめる	丸	Ichidan verb, transitive verb	1: to make round<br>2: to roll up<br>3: to curl up<br><br>1: to seduce<br>2: to cajole<br>3: to explain away<br><br>1: to round off (a fraction)<br><br>1: to lump together	丸め込む・1
丸い	1604230	まるい	丸	adjective	1: round<br>2: circular<br>3: spherical<br><br>1: harmonious<br>2: calm	丸く収まる
専ら	1389740	もっぱら	専	adverb, nouns which may take the genitive case particle `no'	1: wholly<br>2: solely<br>3: entirely<br>4: exclusively<br>5: devotedly<br>6: fixedly<br><br>1: principally<br>2: mostly<br>3: chiefly<br>4: mainly	
占う	1389430	うらなう	占	Godan verb with `u' ending, transitive verb	1: to tell someone's fortune<br>2: to forecast<br>3: to predict<br>4: to divine	
占める	1389460	しめる	占	Ichidan verb, transitive verb	1: to occupy<br>2: to hold<br><br>1: to account for<br>2: to make up<br>3: to take up	
上	1352130	うえ	上	noun, nouns which may take the genitive case particle `no', adverbial noun, noun, used as a suffix	1: above<br>2: up<br>3: over<br>4: elder (e.g. daughter)<br><br>1: top<br>2: summit<br><br>1: surface<br>2: on<br><br>1: before<br>2: previous<br><br>1: superiority<br>2: one's superior (i.e. one's elder)<br><br>1: on top of that<br>2: besides<br>3: what's more<br><br>1: upon (further inspection, etc.)<br>2: based on (and occurring after)<br><br>1: matters concerning...<br>2: as concerns ...<br><br>1: since (i.e. "for that reason")<br><br>1: suffix indicating higher social standing<br><br>1: place of one's superior (i.e. the throne)<br><br>1: emperor<br>2: sovereign<br>3: shogun<br>4: daimyo<br><br>1: noblewoman (esp. the wife of a nobleman)	父上
上	1352150	かみ	上	noun	1: upper reaches (of a river)<br>2: upper stream<br><br>1: top<br>2: upper part<br>3: upper half (of the body)<br><br>1: long ago<br><br>1: beginning<br>2: first<br><br>1: person of high rank (e.g. the emperor)<br><br>1: government<br>2: imperial court<br><br>1: imperial capital (i.e. Kyoto)<br>2: capital region (i.e. Kansai)<br>3: region (or direction of) the imperial palace<br><br>1: head (of a table)<br><br>1: wife<br>2: mistress (of a restaurant)	御上・1; 上方・かみがた
上がり	1352190	あがり	上	noun, used as a suffix, nouns which may take the genitive case particle `no'	1: rise<br>2: increase<br>3: ascent<br><br>1: income<br>2: proceeds<br>3: return<br>4: profit<br>5: crop yield<br><br>1: freshly-drawn green tea (esp. in sushi shops)<br><br>1: completion<br>2: stop<br>3: finish<br><br>1: end result (e.g. of crafts like painting, pottery, etc.)<br>2: how something comes out<br><br>1: after (rain, illness, etc.)<br><br>1: ex- (e.g. ex-bureaucrat)	上がり花
上がる	1352290	あがる	上	Godan verb with `ru' ending, intransitive verb, suffix	1: to rise<br>2: to go up<br>3: to come up<br>4: to ascend<br>5: to be raised<br><br>1: to enter (esp. from outdoors)<br>2: to come in<br>3: to go in<br><br>1: to enter (a school)<br>2: to advance to the next grade<br><br>1: to get out (of water)<br>2: to come ashore<br><br>1: to increase<br><br>1: to improve<br>2: to make progress<br><br>1: to be promoted<br>2: to advance<br><br>1: to be made (of profit, etc.)<br><br>1: to occur (esp. of a favourable result)<br><br>1: to be adequate (to cover expenses, etc.)<br><br>1: to be finished<br>2: to be done<br>3: to be over<br><br>1: (of rain) to stop<br>2: to lift<br><br>1: to stop (working properly)<br>2: to cut out<br>3: to give out<br>4: to die<br><br>1: to win (in a card game, etc.)<br><br>1: to be arrested<br><br>1: to turn up (of evidence, etc.)<br><br>1: to be deep fried<br><br>1: to be spoken loudly<br><br>1: to get stage fright<br><br>1: to be offered (to the gods, etc.)<br><br>1: to go<br>2: to visit<br><br>1: to eat<br>2: to drink<br><br>1: to be listed (as a candidate)<br><br>1: to serve (in one's master's home)<br><br>1: (in Kyoto) to go north<br><br>1: (after the -masu stem of a verb) indicates completion	出来上がる・1
上げる	1352320	あげる	上	Ichidan verb, transitive verb, intransitive verb, auxiliary verb, suffix	1: to raise<br>2: to elevate<br><br>1: to do up (one's hair)<br><br>1: to fly (a kite, etc.)<br>2: to launch (fireworks, etc.)<br>3: to surface (a submarine, etc.)<br><br>1: to land (a boat)<br><br>1: to deep-fry<br><br>1: to show someone (into a room)<br><br>1: to summon (for geishas, etc.)<br><br>1: to send someone (away)<br><br>1: to enrol (one's child in school)<br>2: to enroll<br><br>1: to increase (price, quality, status, etc.)<br>2: to develop (talent, skill)<br>3: to improve<br><br>1: to make (a loud sound)<br>2: to raise (one's voice)<br><br>1: to earn (something desirable)<br><br>1: to praise<br><br>1: to give (an example, etc.)<br>2: to cite<br><br>1: to summon up (all of one's energy, etc.)<br><br>1: to arrest<br><br>1: to nominate<br><br>1: to give<br><br>1: to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)<br><br>1: to bear (a child)<br><br>1: to conduct (a ceremony, esp. a wedding)<br><br>1: (of the tide) to come in<br><br>1: to vomit<br><br>1: to do for (the sake of someone else)<br><br>1: to complete ...<br><br>1: to humbly do ...	手を挙げる・1; 髪を上げる; 声を上げる; 作り上げる; 申し上げる・2
上す	1352410	のぼす	上	Godan verb with `su' ending	1: to raise<br>2: to record<br>3: to bring up (a matter)<br>4: to serve (food)<br>5: to send some one out	
上せる	1352420	のぼせる	上	Ichidan verb, transitive verb	1: to raise<br>2: to record<br>3: to bring up (a matter)<br>4: to serve (food)<br>5: to send some on out	
上り	1352510	のぼり	上	noun, nouns which may take the genitive case particle `no'	1: ascent<br>2: climbing<br>3: ascending (path)<br>4: climb<br><br>1: up-train (e.g. going to Tokyo)<br><br>1: northward (towards Tokyo)	上り列車
上る	1352570	のぼる	上	Godan verb with `ru' ending, intransitive verb	1: to ascend<br>2: to go up<br>3: to climb<br><br>1: to ascend (as a natural process, e.g. the sun)<br>2: to rise<br><br>1: to go to (the capital)<br><br>1: to be promoted<br><br>1: to add up to<br><br>1: to advance (in price)<br><br>1: to swim up (a river)<br>2: to sail up<br><br>1: to come up (on the agenda)	
下	1184140	した	下	noun, nouns which may take the genitive case particle `no', noun, used as a prefix	1: below<br>2: down<br>3: under<br>4: younger (e.g. daughter)<br><br>1: bottom<br><br>1: beneath<br>2: underneath<br><br>1: just after<br>2: right after<br><br>1: inferiority<br>2: one's inferior (i.e. one's junior)<br><br>1: trade-in<br><br>1: preliminary<br>2: preparatory	下取り; 下準備
下がる	1184160	さがる	下	Godan verb with `ru' ending, intransitive verb	1: to hang down<br>2: to abate<br>3: to retire<br>4: to fall<br>5: to step back	
下げる	1184170	さげる	下	Ichidan verb, transitive verb	1: to hang<br>2: to suspend<br>3: to wear (e.g. decoration)<br><br>1: to lower<br>2: to reduce<br>3: to bring down<br><br>1: to demote<br>2: to move back<br>3: to pull back<br><br>1: to clear (plates)<br>2: to remove (food, etc. from table or altar)	
下さる	1184280	くださる	下	Godan verb - -aru special class	1: to give<br>2: to confer<br>3: to bestow<br><br>1: to kindly do for one<br>2: to oblige<br>3: to favour<br>4: to favor	
下す	1184320	くだす	下	Godan verb with `su' ending, transitive verb	1: to make (a decision)<br>2: to pass (judgement, etc.)<br>3: to hand down (orders, etc.)<br><br>1: to let go down<br>2: to lower<br><br>1: to do oneself<br>2: to do by oneself	手を下す・1
下り	1184370	くだり	下	noun, noun, used as a suffix	1: down-train (going away from Tokyo)<br><br>1: down-slope<br>2: downward going	
下る	1184450	くだる	下	Godan verb with `ru' ending, intransitive verb	1: to descend<br>2: to go down<br>3: to come down<br><br>1: to be handed down (of an order, judgment, etc.)<br><br>1: to pass (of time)<br><br>1: to surrender<br>2: to capitulate<br><br>1: (often in neg. form) to be less than<br>2: to be inferior to<br><br>1: to have the runs<br>2: to have diarrhea	判決が下る; 下って; 腹が下る
下ろす	1589580	おろす	下	Godan verb with `su' ending, transitive verb	1: to take down (e.g. flag)<br>2: to launch (e.g. boat)<br>3: to drop<br>4: to lower (e.g. ladder)<br>5: to let (a person) off<br>6: to unload<br>7: to discharge<br><br>1: to drop off (a passenger from a vehicle)<br>2: to let (a person) off<br><br>1: to withdraw money from an account<br><br>1: to wear (clothing) for the first time<br><br>1: to fillet (e.g. a fish)	乗客を降ろす
下	2004390	もと	下	adverb	1: under (esp. influence or guidance)	
下	2080210	しも	下	noun, nouns which may take the genitive case particle `no'	1: lower reaches (of a river)<br><br>1: bottom<br>2: lower part<br><br>1: lower half (of the body, esp. the privates)<br>2: feces (faeces)<br>3: urine<br>4: menses<br><br>1: end<br>2: far from the imperial palace (i.e. far from Kyoto, esp. of western Japan)<br><br>1: dirty (e.g. dirty jokes, etc.)	
朝	1428280	あさ	朝	adverbial noun	1: morning	
只	1538900	ただ	只	nouns which may take the genitive case particle `no', noun, adverb	1: ordinary<br>2: common<br>3: usual<br><br>1: free of charge<br><br>1: unaffected<br>2: as is<br>3: safe<br><br>1: only<br>2: merely<br>3: just<br>4: simply<br><br>1: but<br>2: however<br>3: nevertheless	
貝	1203100	かい	貝	noun	1: shell<br>2: shellfish	
見える	1259140	みえる	見	Ichidan verb, intransitive verb	1: to be seen<br>2: to be in sight<br><br>1: to look<br>2: to seem<br>3: to appear<br><br>1: to come	
見せる	1259210	みせる	見	Ichidan verb, transitive verb	1: to show<br>2: to display	
見る	1259290	みる	見	Ichidan verb, transitive verb	1: to see<br>2: to look<br>3: to watch<br>4: to view<br>5: to observe<br><br>1: to look over<br>2: to look on<br>3: to assess<br>4: to examine<br>5: to judge<br><br>1: to look after<br>2: to keep an eye on<br>3: to take care of<br><br>1: to view (e.g. flowers, movie)<br><br>1: to try<br>2: to try out<br><br>1: to see that...<br>2: to find that...	診る; 看る
元	1260670	もと	元	noun, counter	1: origin<br>2: source<br><br>1: base<br>2: basis<br>3: foundation<br>4: root<br><br>1: cause<br><br>1: ingredient<br>2: material<br><br>1: (somebody's) side<br>2: (somebody's) location<br><br>1: original cost (or capital, principal, etc.)<br><br>1: (plant) root<br>2: (tree) trunk<br><br>1: first section of a waka<br><br>1: counter for blades of grass, tree trunks, etc., and for falcons (in falconry)<br><br>1: handle (chopsticks, brush, etc.)<br>2: grip	和歌
元	2219590	もと	元	noun, nouns which may take the genitive case particle `no', adverbial noun, noun, used as a prefix	1: former<br>2: ex-	
凡そ	1523450	およそ	凡	adverb, noun, nouns which may take the genitive case particle `no'	1: about<br>2: roughly<br>3: approximately<br><br>1: generally<br>2: on the whole<br>3: as a rule<br><br>1: completely<br>2: quite<br>3: entirely<br>4: altogether<br>5: totally<br>6: not at all (with neg. verb)<br><br>1: outline<br>2: gist	おおよそ・1
負う	1497930	おう	負	Godan verb with `u' ending, transitive verb	1: to bear<br>2: to carry on one's back<br><br>1: to take responsibility for<br>2: to accept a duty<br><br>1: to be injured<br><br>1: to owe	背負う・1
負かす	1497950	まかす	負	Godan verb with `su' ending, transitive verb	1: to defeat	
負ける	1497980	まける	負	Ichidan verb, intransitive verb	1: to lose<br>2: to be defeated<br><br>1: to succumb<br>2: to give in<br>3: to surrender<br>4: to yield<br><br>1: to be inferior to<br><br>1: to break out in a rash due to (e.g. lacquer, shaving, etc.)<br><br>1: to reduce the price<br>2: to lower the price<br>3: to give a discount on	気触れる・かぶれる・1
肌	1476450	はだ	肌	noun, noun, used as a suffix	1: skin<br><br>1: body (in the context of intimate bodily contact)<br><br>1: surface<br>2: grain (e.g. of wood)<br>3: texture<br><br>1: disposition<br>2: temperament<br>3: character<br>4: type	肌を許す; 肌が合う
的	1437270	まと	的	noun	1: mark<br>2: target	
首	1592270	くび	首	noun	1: neck<br><br>1: head<br><br>1: dismissal<br>2: discharge<br>3: firing (from a job)	
乙	1182945	きのと	乙	adjectival nouns or quasi-adjectives, noun	1: second in rank<br>2: second sign of the Chinese calendar	
乱す	1548930	みだす	乱	Godan verb with `su' ending, transitive verb	1: to throw out of order<br>2: to disarrange<br>3: to disturb	めちゃくちゃ・3
乱れる	1548940	みだれる	乱	Ichidan verb, intransitive verb	1: to be disordered<br>2: to be disarranged<br>3: to be disarrayed<br>4: to be disheveled<br>5: to be dishevelled<br><br>1: to be discomposed<br>2: to be upset<br>3: to get confused<br>4: to be disturbed<br><br>1: to lapse into chaos (due to war, etc.)	
直き	1430600	なおき	直	noun	1: straight<br>2: upright	
直ぐ	1430610	すぐ	直	adjectival nouns or quasi-adjectives, adverb, noun	1: immediately<br>2: at once<br>3: directly<br><br>1: soon<br>2: before long<br>3: shortly<br><br>1: easily<br>2: without difficulty<br><br>1: right (near)<br>2: nearby<br>3: just (handy)	
直ちに	1430670	ただちに	直	adverb	1: at once<br>2: immediately<br>3: directly<br>4: in person<br>5: automatically	
具に	1598060	つぶさに	具	adverb	1: in detail<br>2: with great care<br>3: completely<br>4: again and again	
真	1363180	ま	真	prefix, noun	1: just<br>2: right<br>3: due (east)<br><br>1: pure<br>2: genuine<br>3: true<br><br>1: truth	真上・まうえ; 真っ白・まっしろ; 真に受ける
左	1290800	ひだり	左	noun, nouns which may take the genitive case particle `no'	1: left<br>2: left hand side	
右	1171010	みぎ	右	noun	1: right<br>2: right hand side<br><br>1: afore-mentioned (esp. in vertical Japanese writing)<br>2: foregoing<br>3: forgoing<br>4: above	右に同じ
賄う	1562510	まかなう	賄	Godan verb with `u' ending, transitive verb	1: to give board to<br>2: to provide meals<br>3: to pay<br>4: to cover (the cost)	
貢ぐ	1282400	みつぐ	貢	Godan verb with `gu' ending, transitive verb	1: to support<br>2: to finance	
項	1282970	うなじ	項	noun	1: nape<br>2: nucha	
刀	1446420	かたな	刀	noun	1: (single-edged) sword<br>2: katana<br><br>1: dagger<br>2: knife<br><br>1: scalpel	
刃	1369820	は	刃	noun	1: edge (of a knife or sword)	
刃	1369830	やいば	刃	noun	1: blade<br>2: sword<br><br>1: forged blade<br>2: wavy pattern on forged blades<br><br>1: sharpness<br><br>1: unhulled rice	刃文・はもん; 籾
切り	1383800	きり	切	noun, suffix, counter, particle	1: end<br>2: finish<br>3: stop<br><br>1: bounds<br>2: limits<br><br>1: delivery date (of a futures contract)<br><br>1: finale (of a noh song)<br>2: end of an act (in joruri or kabuki)<br>3: final performance of the day (in vaudeville)<br><br>1: counter for slices (esp. thick slices)<br>2: counter for cuts (e.g. fish, meat)<br><br>1: only<br>2: just<br><br>1: since<br><br>1: remaining (in a particular state)	切りがない; 切りのない; っ切り・っきり・1
切る	1384830	きる	切	suffix, Godan verb with `ru' ending, transitive verb	1: to cut<br>2: to cut through<br>3: to perform (surgery)<br><br>1: to sever (connections, ties)<br><br>1: to turn off (i.e. the light)<br><br>1: to terminate (i.e. a conversation)<br>2: to hang up (the phone)<br>3: to disconnect<br><br>1: to punch (a ticket)<br>2: to tear off (a stub)<br><br>1: to open (something sealed)<br><br>1: to start<br><br>1: to set (a limit)<br>2: to do (something) in less or within a certain time<br>3: to issue (stamps, vouchers, etc.)<br><br>1: to reduce<br>2: to decrease<br>3: to discount<br><br>1: to shake off (water, etc.)<br>2: to let drip-dry<br>3: to let drain<br><br>1: to cross<br>2: to traverse<br><br>1: to criticize sharply<br><br>1: to act decisively<br>2: to do (something noticeable)<br>3: to go first<br>4: to make (certain facial expressions, in kabuki)<br><br>1: to turn (a vehicle)<br><br>1: to curl (a ball)<br>2: to bend<br>3: to cut<br><br>1: to shuffle (cards)<br><br>1: to dismiss<br>2: to sack<br>3: to let go<br>4: to expulse<br>5: to excommunicate<br><br>1: to dig (a groove)<br>2: to cut (a stencil, on a mimeograph)<br><br>1: to trump<br><br>1: (in Go) to isolate (an opponent's stone)<br><br>1: to start a fire (with wood-wood friction or by striking a metal against stone)<br><br>1: to draw (a shape) in the air (with a sword, etc.)<br><br>1: to finish<br>2: to complete	縁を切る; 電話を切る; 値切る; 切り札; 疲れきる
切れ	1384840	きれ	切	noun, counter	1: piece<br>2: slice<br>3: strip<br>4: scrap<br><br>1: cloth<br><br>1: sharpness<br><br>1: counter for scraps, pieces, etc.	
切れる	1384860	きれる	切	Ichidan verb, intransitive verb, suffix	1: to break<br>2: to snap<br>3: to be cut<br>4: to split<br>5: to crack<br><br>1: to be injured<br><br>1: to wear out<br>2: to be worn out<br><br>1: to break<br>2: to burst<br>3: to collapse<br><br>1: to wear off<br>2: to stop working<br>3: to go dead<br><br>1: to expire (time limit, etc.)<br>2: to run out<br>3: to become due<br><br>1: to run out (of stock, etc.)<br>2: to be exhausted<br>3: to be used up<br>4: to be sold out<br>5: to be out of<br><br>1: to be broken off (e.g. of a relationship)<br>2: to break up<br>3: to have severed ties<br>4: to be cut off<br>5: to be disconnected<br><br>1: to cut well<br>2: to be sharp<br><br>1: to be sharp-minded<br>2: to be keen<br>3: to be shrewd<br>4: to be quick-witted<br>5: to be able<br><br>1: to be short of<br>2: to drop under (a certain figure)<br>3: to beat (e.g. a record time)<br><br>1: to dry off<br><br>1: to curve<br>2: to veer<br><br>1: to shuffle (cards)<br><br>1: to get angry<br>2: to snap<br>3: to blow one's top<br>4: to lose one's temper<br>5: to flip<br><br>1: to be able to do completely	キレる
召す	1346450	めす	召	Godan verb with `su' ending, transitive verb	1: to call<br>2: to invite<br>3: to send for<br>4: to summon<br><br>1: to eat<br>2: to drink<br><br>1: to put on<br>2: to wear<br><br>1: to ride<br><br>1: to catch (a cold)<br>2: to take (a bath)<br>3: to tickle (one's fancy)<br>4: to put on (years)<br>5: to commit (seppuku)<br><br>1: to do<br><br>1: honorific suffix used after the -masu stem of a verb	召される・1
則る	1404080	のっとる	則	Godan verb with `ru' ending, intransitive verb	1: to conform to<br>2: to be in accordance with<br>3: to follow (rule, tradition, example, etc.)	
別れる	1606590	わかれる	別	Ichidan verb, intransitive verb	1: to be divided<br>2: to part from<br>3: to separate<br>4: to bid farewell	
町	1603990	まち	町	noun	1: town<br>2: block<br>3: neighbourhood<br>4: neighborhood<br><br>1: street<br>2: road<br><br>1: 109.09 m<br><br>1: 0.99 hectares	
頂	1430200	いただき	頂	noun	1: crown (of head)<br>2: summit (of mountain)<br>3: spire<br><br>1: easy win for one<br><br>1: something received	
頂く	1587290	いただく	頂	Godan verb with `ku' ending, transitive verb	1: to receive<br>2: to get<br>3: to accept<br>4: to take<br>5: to buy<br><br>1: to eat<br>2: to drink<br><br>1: to be crowned with<br>2: to wear (on one's head)<br>3: to have (on top)<br><br>1: to have (as one's leader)<br>2: to live under (a ruler)<br>3: to install (a president)	貰う
子	1307770	こ	子	noun, noun, used as a suffix	1: child<br><br>1: young (animal)<br><br>1: young woman<br>2: young geisha<br><br>1: offshoot<br><br>1: interest<br><br>1: new shares<br><br>1: player who is not a dealer (in cards, mahjong, etc.)<br><br>1: bird egg<br><br>1: -er (often of young women)	仔・こ; 元も子もない; 子株・2; 親・おや・2
子	1307780	ね	子	noun	1: first sign of Chinese zodiac (The Rat, 11pm-1am, north, November)	
女	1344930	おんな	女	noun, noun, used as a prefix	1: female<br>2: woman<br>3: female sex<br><br>1: female lover<br>2: girlfriend<br>3: mistress<br>4: (someone's) woman	男・おとこ・1
好く	1277480	すく	好	Godan verb with `ku' ending, transitive verb	1: to like<br>2: to love<br>3: to be fond of	
好む	1277520	このむ	好	Godan verb with `mu' ending, transitive verb	1: to like<br>2: to prefer	
如し	1466930	ごとし	如	noun, suffix	1: like<br>2: as if<br>3: the same as	如き
母	1514990	はは	母	noun	1: mother	父
貫く	1215070	つらぬく	貫	Godan verb with `ku' ending, transitive verb	1: to go through<br>2: to pierce<br>3: to penetrate<br><br>1: to carry out<br>2: to persist<br>3: to keep (faith)<br>4: to stick to (principles)<br>5: to maintain (independence)	
貫	2567860	ぬき	貫	noun	1: crosspiece (between pillars, etc.)<br>2: penetrating tie beam	
兄	1249900	あに	兄	noun	1: elder brother<br>2: older brother	
小さい	1347750	ちいさい	小	adjective	1: small<br>2: little<br>3: tiny	
少し	1348870	すこし	少	adverb, noun	1: small quantity<br>2: little<br>3: few<br>4: something<br><br>1: little while<br><br>1: short distance	
少ない	1348910	すくない	少	adjective	1: few<br>2: a little<br>3: scarce<br>4: insufficient<br>5: seldom	
大きい	1588880	おおきい	大	adjective	1: big<br>2: large<br>3: great<br>4: loud	
多い	1407460	おおい	多	adjective	1: many<br>2: numerous	
外	1203250	そと	外	noun	1: outside<br>2: exterior<br><br>1: open air<br><br>1: other place	
外す	1203270	はずす	外	Godan verb with `su' ending, transitive verb	1: to unfasten<br>2: to undo<br><br>1: to remove<br>2: to take off<br>3: to deinstall<br><br>1: to leave<br>2: to step out<br>3: to slip away<br><br>1: to miss (a target)	
外れる	1203310	はずれる	外	Ichidan verb, intransitive verb	1: to be disconnected<br>2: to get out of place<br>3: to be off<br>4: to be out (e.g. of gear)	
名	1531330	な	名	noun	1: name<br>2: given name<br><br>1: title<br><br>1: fame<br>2: renown<br>3: reputation<br><br>1: pretext<br>2: pretense<br>3: justification<br>4: appearance	
石	1382440	いし	石	noun	1: stone<br><br>1: gem<br>2: jewel	
肖る	1351450	あやかる	肖	Godan verb with `ru' ending, intransitive verb	1: to share good luck<br>2: to follow (someone's) example<br><br>1: to be named after	
砕く	1295170	くだく	砕	Godan verb with `ku' ending, transitive verb	1: to break<br>2: to smash	
砕ける	1295190	くだける	砕	Ichidan verb, intransitive verb	1: to break (into pieces)<br>2: to be broken<br>3: to be smashed<br><br>1: to collapse<br>2: to crumble<br>3: to decline<br>4: to cool (e.g. enthusiasm)<br>5: to dampen (e.g. one's will to fight)<br><br>1: to become less formal<br>2: to throw off reserve<br>3: to become affable<br><br>1: to become easy to understand (e.g. a story)<br><br>1: to be worried	
砂	1291500	すな	砂	noun	1: sand<br>2: grit<br><br>1: gold dust<br>2: silver dust	
削ぐ	1298040	そぐ	削	Godan verb with `gu' ending	1: to chip<br>2: to slice off<br>3: to sharpen<br><br>1: to thin down<br>2: to reduce<br>3: to weaken	
