Kanji	On'yomi	Kun'yomi	Jinmeiyo	Grade	Stroke Count	Heisig	Heisig 6th	Newspaper Frequency	Meanings	Heisig Keyword
全	ゼン	まった.く, すべ.て	たけ, まさ	3	6	263	281	75	whole, entire, all, complete, fulfill	whole
栓	セン			8	10	264	282	2199	plug, bolt, cork, bung, stopper	plug
理	リ	ことわり	あや, おさむ, さと, さとる, ただ, ただし, とおる, に, のり, ひ, まこと, まさ, まさし, まろ, みち, よし	2	11	265	283	86	logic, arrangement, reason, justice, truth	logic
主	シュ, ス, シュウ	ぬし, おも, あるじ	かず, ず, もん	3	5	266	284	95	lord, chief, master, main thing, principal	lord
注	チュウ	そそ.ぐ, さ.す, つ.ぐ		3	8	267	285	497	pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate	pour
柱	チュウ	はしら		3	9	268	286	1119	pillar, post, cylinder, support	pillar
金	キン, コン, ゴン	かね, かな-, -がね	かん, きむ, こ, この, ん	1	8	269	287	53	gold	gold
銑	セン			9	14	270	288	0	pig iron	pig-iron
鉢	ハチ, ハツ			8	13	271	289	1890	bowl, rice tub, pot, crown	bowl
銅	ドウ	あかがね		5	14	272	290	1505	copper	copper
釣	チョウ	つ.る, つ.り, つ.り-	つり	8	11	273	291	1542	angling, fish, catch, allure, ensnare	angling
針	シン	はり	は	6	10	274	292	505	needle, pin, staple, stinger	needle
銘	メイ		たか, み, め	8	14	275	293	1394	inscription, signature (of artisan)	inscription
鎮	チン	しず.める, しず.まる, おさえ	しげ, じん, ちか, しん	8	18	276	294	1617	tranquilize, ancient peace-preservation centers	tranquilize
道	ドウ, トウ	みち	さ, じ, ど, みつ	2	12	277	295	207	road-way, street, district, journey, course, moral, teachings	road-way
導	ドウ	みちび.く	みち	5	15	278	296	354	guidance, leading, conduct, usher	guidance
辻		つじ		9	5	279	297	1614	crossing, crossroad, street corners, (kokuji)	crossing
迅	ジン			8	6	280	298	1888	swift, fast	swift
造	ゾウ	つく.る, つく.り, -づく.り	ずくり, づくり, み	5	10	281	299	429	create, make, structure, physique	create
迫	ハク	せま.る	さこ, せ, せこ, はさ, はさま, はざま	8	8	282	300	773	urge, force, imminent, spur on	urge
逃	トウ	に.げる, に.がす, のが.す, のが.れる		8	9	283	301	931	escape, flee, shirk, evade, set free	escape
辺	ヘン	あた.り, ほと.り, -べ	なべ	4	5	284	302	428	environs, boundary, border, vicinity	environs
巡	ジュン	めぐ.る, めぐ.り		8	6	285	303	1262	patrol, go around, circumference	patrol
車	シャ	くるま	くら, くろま	1	7	286	304	333	car	car
連	レン	つら.なる, つら.ねる, つ.れる, -づ.れ	ずれ, つれ, むらじ, れ	4	10	287	305	30	take along, lead, join, connect, party, gang, clique	take along
軌	キ			8	9	288	306	1480	rut, wheel, track, model, way of doing	rut
輸	ユ, シュ			5	16	289	307	371	transport, send, be inferior	transport
前	ゼン	まえ, -まえ	さき, さと, まい	2	9	290	309	27	in front, before	in front
各	カク	おのおの	かか, かが	4	6	291	311	243	each, every, either	each
格	カク, コウ, キャク, ゴウ		いたる, のり	5	10	292	312	281	status, rank, capacity, character, case (law, grammar)	status
略	リャク	ほぼ, おか.す, おさ.める, はかりごと, はか.る, はぶ.く, りゃく.す, りゃく.する		5	11	293	314	774	abbreviation, omission, outline, shorten, capture, plunder	abbreviation
客	キャク, カク			3	9	294	315	557	guest, visitor, customer, client	guest
額	ガク	ひたい	ぬか	5	18	295	316	407	forehead, tablet, plaque, framed picture, sum, amount, volume	forehead
夏	カ, ガ, ゲ	なつ		2	10	296	317	659	summer	summer
処	ショ	ところ, -こ, お.る		6	5	297	318	547	dispose, manage, deal with, sentence, condemn, act, behave, place	dispose
条	ジョウ, チョウ, デキ	えだ, すじ		5	7	298	319	363	article, clause, item, stripe, streak	twig
落	ラク	お.ちる, お.ち, お.とす	おち	3	12	299	320	420	fall, drop, come down, village, hamlet	fall
冗	ジョウ			8	4	300	321	1782	superfluous, uselessness	superfluous
軍	グン	いくさ		4	9	301	323	189	army, force, troops, war, battle	army
輝	キ	かがや.く	あき, あきら, さき, てる, ひ, ひかる	8	15	302	324	1259	radiance, shine, sparkle, gleam, twinkle	radiance
運	ウン	はこ.ぶ		3	12	303	325	255	carry, luck, destiny, fate, lot, transport, progress, advance	carry
冠	カン	かんむり	か, かっぷ, まさる	8	9	304	326	1503	crown, best, peerless	crown
夢	ム, ボウ	ゆめ, ゆめ.みる, くら.い		5	13	305	327	943	dream, vision, illusion	dream
坑	コウ			8	7	306	328	2040	pit, hole	pit
高	コウ	たか.い, たか, -だか, たか.まる, たか.める	か, こ, じょい, た, はか	2	10	307	329	65	tall, high, expensive	tall
享	キョウ, コウ	う.ける	たか, たかし, とおる, みち	8	8	308	330	1893	enjoy, receive, undergo, answer (phone), take, get, catch	receive
塾	ジュク			8	14	309	331	1297	cram school, private school	cram school
熟	ジュク	う.れる		6	15	310	332	1415	mellow, ripen, mature, acquire skill	mellow
亭	テイ, チン			8	9	311	333	1627	pavilion, restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name	pavilion
京	キョウ, ケイ, キン	みやこ	たか	2	8	312	334	74	capital, 10**16	capital
涼	リョウ	すず.しい, すず.む, すず.やか, うす.い, ひや.す, まことに	りょ	8	11	313	335	1783	refreshing, nice and cool	refreshing
景	ケイ		かげ	4	12	314	336	419	scenery, view	scenery
鯨	ゲイ	くじら		8	19	315	337	1486	whale	whale
舎	シャ, セキ	やど.る	さ, とり	5	8	316	338	1170	cottage, inn, hut, house, mansion	cottage
周	シュウ	まわ.り	あまね, しゅ, す, ちか, のり, ひろ, びび, まこと	4	8	317	339	562	circumference, circuit, lap	circumference
週	シュウ			2	11	318	340	540	week	week
士	シ	さむらい	お, ま	4	3	319	341	526	gentleman, samurai, samurai radical (no. 33)	gentleman
吉	キチ, キツ	よし	え, き, きっ, きる, こし, と, よ	8	6	320	342	711	good luck, joy, congratulations	good luck
壮	ソウ	さかん	つよし	8	6	321	343	1657	robust, manhood, prosperity	robust
荘	ソウ, ショウ, チャン	ほうき, おごそ.か	そ	8	9	322	344	1489	villa, inn, cottage, feudal manor, solemn, dignified	villa
売	バイ	う.る, う.れる	うり, うる, め	2	7	323	345	202	sell	sell
学	ガク	まな.ぶ	たか, のり	1	8	324	346	63	study, learning, science	study
覚	カク	おぼ.える, さ.ます, さ.める, さと.る		4	12	325	347	710	memorize, learn, remember, awake, sober up	memorize
栄	エイ, ヨウ	さか.える, は.え, -ば.え, は.える, え	さかえ, しげ, てる, なが, ひで, よし	4	9	326	348	920	flourish, prosperity, honor, glory, splendor	flourish
書	ショ	か.く, -が.き, -がき	かき	2	10	327	349	169	write	write
津	シン	つ	ず, ち, と	8	9	328	350	1036	haven, port, harbor, ferry	haven
牧	ボク	まき	ま, まい, もく	4	8	329	351	1360	breed, care for, shepherd, feed, pasture	breed
攻	コウ	せ.める	おさむ	8	7	330	352	532	aggression, attack, criticize, polish	aggression
敗	ハイ	やぶ.れる		4	11	331	353	516	failure, defeat, reversal	failure
枚	マイ, バイ		ひら	6	8	332	354	911	sheet of..., counter for flat thin objects or sheets	sheet of...
故	コ	ゆえ, ふる.い, もと		5	9	333	355	612	happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently	happenstance
敬	ケイ, キョウ	うやま.う	け, たか, たかし, たけ, とし, のり, ひろ, ゆき, よし	6	12	334	356	1078	awe, respect, honor, revere	awe
言	ゲン, ゴン	い.う, こと	とき	2	7	335	357	83	say, word	say
警	ケイ	いまし.める		6	19	336	358	366	admonish, commandment	admonish
計	ケイ	はか.る, はか.らう	え, かず, け	2	9	337	359	228	plot, plan, scheme, measure	plot
獄	ゴク			8	14	338	361	1529	prison, jail	prison
訂	テイ			8	9	339	362	1690	revise, correct, decide	revise
討	トウ	う.つ		6	10	340	364	528	chastise, attack, defeat, destroy, conquer	chastise
訓	クン, キン	おし.える, よ.む, くん.ずる	く, くに, くの, さとし, のり, ふみ	4	10	341	365	1134	instruction, Japanese character reading, explanation, read	instruction
詔	ショウ	みことのり	さとし, のり	8	12	342	366	2239	imperial edict	imperial edict
詰	キツ, キチ	つ.める, つ.め, -づ.め, つ.まる, つ.む	ずめ, づめ	8	13	343	367	1020	packed, close, pressed, reprove, rebuke, blame	packed
話	ワ	はな.す, はなし		2	13	344	368	134	tale, talk	tale
詠	エイ	よ.む, うた.う	うた, え, ええ	8	12	345	369	2000	recitation, poem, song, composing	recitation
詩	シ	うた		3	13	346	370	1196	poem, poetry	poem
語	ゴ	かた.る, かた.らう		2	14	347	371	301	word, speech, language	word
読	ドク, トク, トウ	よ.む, -よ.み	よみ	2	14	348	372	618	read	read
調	チョウ	しら.べる, しら.べ, ととの.う, ととの.える	ぎ, つぎ	3	15	349	373	87	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate	tune
談	ダン			3	15	350	374	272	discuss, talk	discuss
諾	ダク			8	15	351	375	1490	consent, assent, agreement	consent
諭	ユ	さと.す	ゆう	8	16	352	376	1461	rebuke, admonish, charge, warn, persuade	rebuke
式	シキ		のり	3	6	353	377	251	style, ceremony, rite, function, method, system, form, expression	style
試	シ	こころ.みる, ため.す		4	13	354	378	392	test, try, attempt, experiment, ordeal	test
弐	ニ, ジ	ふた.つ, そえ		8	6	355	379	0	II, two, second	II
域	イキ			6	11	356	380	396	range, region, limits, stage, level	range
賊	ゾク			8	13	357	381	2045	burglar, rebel, traitor, robber	burglar
栽	サイ			8	10	358	382	1496	plantation, planting	plantation
載	サイ	の.せる, の.る	とし, のり	8	13	359	383	825	ride, board, get on, place, spread, 10**44, record, publish	load
茂	モ	しげ.る	うむさ, き, し, つとむ, む, もて	8	8	360	384	1188	overgrown, grow thick, be luxuriant	overgrown
成	セイ, ジョウ	な.る, な.す, -な.す	あき, あきら, しげ, そん, たえ, なお, なり, なる, のり, ひら, まさ, よし, り	4	6	361	386	116	turn into, become, get, grow, elapse, reach	turn into
城	ジョウ	しろ	いく, がき, き, くに, ぐしく, ぐすく, しき, すく, ぜい, たち, なり	6	9	362	387	795	castle	castle
誠	セイ	まこと	きよ, さと, しげ, とも, のぶ, ま, まこ, まさ	6	13	363	388	1128	sincerity, admonish, warn, prohibit, truth, fidelity	sincerity
威	イ	おど.す, おど.し, おど.かす	いさ, たけ, たけし	8	9	364	389	1103	intimidate, dignity, majesty, menace, threaten	intimidate
滅	メツ	ほろ.びる, ほろ.ぶ, ほろ.ぼす		8	13	365	390	1222	destroy, ruin, overthrow, perish	destroy
減	ゲン	へ.る, へ.らす		5	12	366	391	261	dwindle, decrease, reduce, decline, curtail, get hungry	dwindle
桟	サン, セン	かけはし	さ	8	10	367	393	2093	scaffold, cleat, frame, jetty, bolt (door)	scaffold
銭	セン, ゼン	ぜに, すき		5	14	368	394	1008	coin, .01 yen, money	coin
浅	セン	あさ.い	あざ, さ	4	9	369	395	1253	shallow, superficial, frivolous, wretched, shameful	shallow
止	シ	と.まる, -ど.まり, と.める, -と.める, -ど.め, とど.める, とど.め, とど.まる, や.める, や.む, -や.む, よ.す, -さ.す, -さ.し	どめ	2	4	370	396	310	stop, halt	stop
歩	ホ, ブ, フ	ある.く, あゆ.む	あ, ゆき, ゆみ	2	8	371	397	554	walk, counter for steps	walk
渉	ショウ	わた.る	えん	8	11	372	398	499	ford, go cross, transit, ferry, import, involve	ford
頻	ヒン	しき.りに		8	17	373	399	1590	repeatedly, recur	repeatedly
肯	コウ	がえんじ.る		8	8	374	400	1813	agreement, consent, comply with	agreement
企	キ	くわだ.てる, たくら.む		8	6	375	401	278	undertake, scheme, design, attempt, plan	undertake
歴	レキ, レッキ			4	14	376	402	632	curriculum, continuation, passage of time	curriculum
武	ブ, ム	たけ.し	う, お, たけし, たけん, ん	5	8	377	403	387	warrior, military, chivalry, arms	warrior
賦	フ, ブ		うた	8	15	378	404	0	levy, ode, prose, poem, tribute, installment	levy
正	セイ, ショウ	ただ.しい, ただ.す, まさ, まさ.に	おお, くに, ま, まさし, ただし	1	5	379	405	143	correct, justice, righteous, 10**40	correct
証	ショウ	あかし		5	12	380	406	306	evidence, proof, certificate	evidence
政	セイ, ショウ	まつりごと, まん	ただ, まさ	5	9	381	407	17	politics, government	politics
定	テイ, ジョウ	さだ.める, さだ.まる, さだ.か	さた	3	8	382	408	48	determine, fix, establish, decide	determine
錠	ジョウ			8	16	383	409	1934	lock, fetters, shackles	lock
走	ソウ	はし.る	はしり	2	7	384	410	626	run	run
超	チョウ	こ.える, こ.す	まさる, わたる	8	12	385	411	597	transcend, super-, ultra-	transcend
赴	フ	おもむ.く		8	9	386	412	1649	proceed, get, become, tend	proceed
越	エツ, オツ	こ.す, -こ.す, -ご.し, こ.える, -ご.え	えち, えっ, お, こえ, こし, ごえ, ごし, ごや	8	12	387	413	897	surpass, cross over, move to, exceed, Vietnam	surpass
是	ゼ, シ	これ, この, ここ	すなお, ただし, つな, ゆき, よし	8	9	388	414	1045	just so, this, right, justice	just so
題	ダイ			3	18	389	415	96	topic, subject	topic
堤	テイ	つつみ		8	12	390	416	1658	dike, bank, embankment	dike
建	ケン, コン	た.てる, た.て, -だ.て, た.つ	たけ, たつ, たて	4	9	391	417	300	build	build
延	エン	の.びる, の.べる, の.べ, の.ばす	たか, のぶ, のべ	6	8	392	419	747	prolong, stretching	prolong
誕	タン			6	15	393	420	1024	nativity, be born, declension, lie, be arbitrary	nativity
礎	ソ	いしずえ	もと	8	18	394	421	1224	cornerstone, foundation stone	cornerstone
婿	セイ	むこ		8	12	395	422	2099	bridegroom, son-in-law	bridegroom
衣	イ, エ	ころも, きぬ, -ぎ		4	6	396	423	1214	garment, clothes, dressing	garment
裁	サイ	た.つ, さば.く		6	12	397	424	297	tailor, judge, decision, cut out (pattern)	tailor
装	ソウ, ショウ	よそお.う, よそお.い		6	12	398	425	657	attire, dress, pretend, disguise, profess	attire
裏	リ	うら		6	13	399	426	812	back, amidst, in, reverse, inside, palm, sole, rear, lining, wrong side	back
壊	カイ, エ	こわ.す, こわ.れる, やぶ.る		8	16	400	427	727	demolition, break, destroy	demolition
哀	アイ	あわ.れ, あわ.れむ, かな.しい		8	9	401	428	1715	pathetic, grief, sorrow, pathos, pity, sympathize	pathetic
遠	エン, オン	とお.い	お, おに, ど, どお	2	13	402	429	887	distant, far	distant
猿	エン	さる	さ, さわ, ざる, まし	8	13	403	430	1772	monkey	monkey
初	ショ	はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め	し, はっ	4	7	404	431	152	first time, beginning	first time
布	フ	ぬの	う, の, ほ	5	5	405	433	877	linen, cloth, spread, distribute	linen
帆	ハン	ほ		8	6	406	434	1923	sail	sail
幅	フク	はば		8	12	407	435	641	hanging scroll, width	hanging scroll
帽	ボウ, モウ	ずきん, おお.う		8	12	408	436	1742	cap, headgear	cap
幕	マク, バク	とばり		6	13	409	437	835	curtain, bunting, act of play	curtain
幌	コウ	ほろ, とばり		9	13	410	438	1309	canopy, awning, hood, curtain	canopy
錦	キン	にしき	かね, あや, にし	8	16	411	439	1440	brocade, fine dress, honors	brocade
市	シ	いち	い, ち	2	5	412	440	42	market, city, town	market
姉	シ	あね, はは		2	8	413	442	1473	elder sister	elder sister
肺	ハイ			6	9	414	443	1387	lungs	lungs
帯	タイ	お.びる, おび	たて	4	10	415	444	746	sash, belt, obi, zone, region	sash
滞	タイ, テイ	とどこお.る		8	13	416	445	1107	stagnate, be delayed, overdue, arrears	stagnate
刺	シ	さ.す, さ.さる, さ.し, さし, とげ		8	8	417	446	1031	thorn, pierce, stab, prick, sting, calling card	thorn
制	セイ			5	8	418	447	108	system, law, rule	system
製	セイ			5	14	419	448	488	made in..., manufacture	made in...
転	テン	ころ.がる, ころ.げる, ころ.がす, ころ.ぶ, まろ.ぶ, うたた, うつ.る, くる.めく		3	11	420	449	327	revolve, turn around, change	revolve
芸	ゲイ, ウン	う.える, のり, わざ	き, げ, なり	4	7	421	450	719	technique, art, craft, performance, acting, trick, stunt	technique
雨	ウ	あめ, あま-, -さめ		1	8	422	451	950	rain	rain
雲	ウン	くも, -ぐも	き, ずも, のめ	2	12	423	452	1256	cloud	cloud
曇	ドン	くも.る	ど, ずみ	8	16	424	453	1899	cloudy weather, cloud up	cloudy weather
雷	ライ	かみなり, いかずち, いかづち		8	13	425	454	1491	thunder, lightning bolt	thunder
霜	ソウ	しも		8	17	426	455	2151	frost	frost
冬	トウ	ふゆ		2	5	427	456	1090	winter	winter
天	テン	あまつ, あめ, あま-	あき, あも, た, たかし, て, なま	1	4	428	457	512	heavens, sky, imperial	heavens
橋	キョウ	はし	ばせ	3	16	429	460	553	bridge	bridge
嬌	キョウ	なまめか.しい		0	15	430	461	0	attractive	attractive
立	リツ, リュウ, リットル	た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-, -た.て, -だ.て, -だ.てる	たち, たっ, たつ, だて, つい	1	5	431	462	58	stand up, rise, set up, erect	stand up
泣	キュウ	な.く		4	8	432	463	1380	cry, weep, moan	cry
章	ショウ		あき, あきら, あや, ふみ	3	11	433	464	990	badge, chapter, composition, poem, design	badge
